date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary
21_03_05,Phil Kessel,W,ARI,MIN,1.0349926071956654,0.8871365204534274,7.097092163627419,0.8871365204534274,0.7304090685066552,16.27166666666663,0.8673471254479763,0.4273793468107022,2.6,10.0,6400
21_03_05,Philipp Kurashev,W,CHI,TBL,0.6381533165202575,0.5126982513240324,5.030862239536458,1.5771438650285226,0.4970751714799121,12.362172527019448,0.6968692932826976,0.6769344368938247,2.6,6.8,3600
21_03_05,Pierre-Edouard Bellemare,C,COL,ANA,0.375410605349601,0.1877053026748005,7.508212106992019,2.8155795401220076,0.7001407789770061,12.59888888888889,0.7456023900607339,0.0,3.3,5.0,3100
21_03_05,Pius Suter,C,CHI,TBL,0.928291212103258,0.6952207363033717,7.249784558194432,1.4324746537892308,0.6089299021916541,14.858295783358756,0.9281367525888039,0.6396495266565774,2.6,8.8,4400
21_03_05,Reilly Smith,W,VGK,SJS,1.0111953773925655,1.1556518598772176,5.922715781870742,1.30010834236187,0.8450704225352154,17.25499999999994,0.8598065644033381,0.8232043762688929,3.5,10.9,4600
21_03_05,Richard Panik,W,WSH,BOS,0.533386013433425,1.7779533781114163,6.934018174634525,1.7779533781114163,0.6685104701698928,11.787222222222232,0.8122756795391495,0.0,2.8,4.1,3300
21_03_05,Rickard Rakell,W,ANA,COL,0.5061333520790134,1.5184000562370403,9.363467013461749,1.7714667322765472,0.9540613686689404,18.206666666666653,0.43939169344805373,0.5784545692938798,2.2,11.7,5500
21_03_05,Rudolfs Balcers,W,SJS,VGK,0.6182876720334599,1.1790691944039653,6.178227507676846,3.4566571357316547,0.6336540989083443,12.421431552418586,0.8213388263656898,0.9637780909305955,2.5,8.5,3300
21_03_05,Ryan Carpenter,C,CHI,TBL,0.5619439096727156,0.0,7.867214735418017,1.4985170924605746,0.8279306935844677,13.45500000000008,0.405696113446247,0.9213194158182877,2.6,4.6,3600
21_03_05,Ryan Donato,W,SJS,VGK,0.8505410386051039,1.0206492463261247,8.50541038605104,2.2114067003732703,0.9526059632377162,13.117777777777901,0.5684860131149451,0.8574608028208047,2.5,7.7,3100
21_03_05,Ryan Getzlaf,C,ANA,COL,0.0,1.105820918445704,5.805559821839945,4.561511288588529,0.5764091537398232,17.256111111111156,0.6793338585140265,0.5290392649745062,2.2,9.3,4800
21_03_05,Ryan O'Reilly,C,STL,LAK,0.7500520869504855,1.8751302173762134,6.000416695603884,1.2500868115841421,0.5437877630391019,20.831666666666607,0.7919496968536183,0.5269283796045358,2.9,11.9,6900
21_03_05,Ryan Reaves,W,VGK,SJS,0.3809926976399628,0.7619853952799256,4.571912371679554,3.428934278759665,0.4133770769393597,10.52777777777775,0.6810099029143148,0.0,3.5,3.2,3000
21_03_05,Sam Steel,C,ANA,COL,0.4582290296576011,0.7637150494293351,3.513089227374942,1.2219440790869363,0.26577283720140865,15.299444444444445,0.7944514779531567,0.6843574232437134,2.2,3.8,3500
21_03_05,Sammy Blais,W,STL,LAK,0.5231797703822134,1.0463595407644268,6.103763987792489,1.2207527975584977,0.6644383083854108,11.629444444444413,0.5476546449523587,0.0,2.9,3.5,3100
21_03_05,Sean Kuraly,W,BOS,WSH,0.510614155359088,0.510614155359088,9.020850078010556,2.3828660583424104,0.5208264384662699,13.542222222222152,0.5168672400594099,0.0,3.2,4.7,3100
21_03_05,Steven Stamkos,W,TBL,CHI,2.032995845266426,1.887781856318824,7.11548545843249,1.887781856318824,1.0745835182122536,18.005555555555578,0.6226470144840988,0.6860697730000411,3.5,15.8,8200
21_03_05,T.J. Oshie,W,WSH,BOS,0.41317571444967105,1.2395271433490131,6.197635716745066,3.0299552392975873,0.7437162860094078,17.828888888888958,0.774672771619392,0.7230358918175113,2.8,10.0,5600
