"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"190","Brandon Hagel","CHI","L","1","0.083333333333333","0.083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"191","Mikhail Maltsev","N.J","L","1","0.016666666666667","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"192","Zach Aston-Reese","PIT","C","1","0.8","0.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"193","Nolan Patrick","PHI","C","1","1.5333333333333","1.5333333333333","0","0","0","0","0","-","39.13","0.00","4.36","39.13","39.13","39.13","39.13","0","0","0","0","0","0","0","0","0","0","0","39.13","0","0","0","-"
"194","Michael Rasmussen","DET","C","1","3.8166666666667","3.8166666666667","0","0","0","0","0","0.00","15.72","0.00","3.48","15.72","15.72","15.72","15.72","0","0","0","0","0","0","0","0","0","0","15.72","0","0","0","31.44","0.00"
"195","Eeli Tolvanen","NSH","R","1","1.4666666666667","1.4666666666667","0","0","0","0","0","-","81.82","0.00","7.15","81.82","81.82","81.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"196","Nick Suzuki","MTL","C","1","1.2666666666667","1.2666666666667","0","0","0","0","0","-","47.37","0.00","1.2","47.37","47.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.37","0","4736.84"
"197","Jason Robertson","DAL","L","1","2.0666666666667","2.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"198","Miro Heiskanen","DAL","D","1","2.1333333333333","2.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"200","Erik Brannstrom","OTT","D","1","3.05","3.05","0","19.67","19.67","0","19.67","100.00","19.67","0.00","2.35","59.02","39.34","19.67","0","0","0","0","0","0","0","0","0","0","0","0","19.67","0","0","0","-"
