date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_15,TOR,John Tavares,14.6,0,1,5,0,0.35,1.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.433333333333298,16.0,58.41784989858025
20_02_15,VGK,Reilly Smith,15.45,1,0,1,1,0.33,1.35,0.0,0.0,1.0,0.0,0.11,0.28333333333333,0.0,0.0,1.0,0.0,0.18,15.2,1.6,1.6,17.083333333333332,18.400000000000002,64.62439024390245
20_02_15,WSH,Richard Panik,10.483333333333,0,1,1,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.98333333333333,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,11.466666666666331,9.6,50.23255813953635
20_02_15,MTL,Ben Chiarot,23.833333333333,0,1,5,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1.2833333333333,0.0,0.0,0.0,2.0,0.0,17.6,0.0,3.2,25.1166666666663,20.8,49.68812209688195
20_02_15,MTL,Jordan Weal,15.533333333333,1,0,3,1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.400000000000002,0.0,0.0,15.533333333333,18.400000000000002,71.0729613733921
20_02_15,BOS,Charlie Coyle,12.983333333333,1,0,5,0,0.34,2.2666666666667,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,16.6499999999997,20.0,72.07207207207337
20_02_15,TOR,Zach Hyman,14.033333333333,0,1,0,1,0.0,0.16666666666667,0.0,0.0,0.0,0.0,0.0,2.2166666666667,0.0,0.0,1.0,0.0,0.21,9.6,0.0,1.6,16.41666666666637,11.2,40.934010152285
20_02_15,NSH,Ryan Johansen,12.133333333333,0,1,1,0,0.09,2.3833333333333,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.6,0.0,14.5166666666663,11.2,46.29161882893343
20_02_15,DAL,Tyler Seguin,18.133333333333,1,0,2,1,0.09,1.8666666666667,1.0,0.0,2.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,16.8,15.7,0.0,19.999999999999698,32.5,97.50000000000148
20_02_15,NSH,Mikael Granlund,14.95,0,1,0,0,0.23,4.05,1.0,0.0,3.0,0.0,0.32,1.9166666666667,0.0,0.0,0.0,0.0,0.0,8.0,17.3,0.0,20.9166666666667,25.3,72.57370517928277
20_02_15,DAL,John Klingberg,15.1,0,1,1,2,0.0,1.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,8.5,0.0,16.55,21.3,77.22054380664652
20_02_15,WSH,Travis Boyd,12.883333333333,0,1,1,0,0.17,1.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,14.2166666666663,9.6,40.51582649472554
20_02_15,CGY,Johnny Gaudreau,13.75,0,1,3,0,0.26,5.6166666666667,0.0,1.0,2.0,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.0,12.8,11.7,0.0,19.4166666666667,24.5,75.70815450643764
20_02_15,MTL,Nick Cousins,11.816666666667,1,0,1,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,11.816666666667,15.2,77.17912552891178
20_02_15,CHI,Brandon Saad,11.716666666667,1,0,1,0,0.04,3.6,0.0,0.0,2.0,0.0,0.57,4.4,0.0,0.0,1.0,0.0,0.22,13.6,3.2,1.6,19.716666666667003,18.400000000000002,55.99323753169813
20_02_15,FLA,Jonathan Huberdeau,14.766666666667,1,0,3,1,0.2,4.2,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,18.400000000000002,1.6,0.0,18.966666666667,20.000000000000004,63.268892794375006
20_02_15,EDM,Adam Larsson,20.433333333333,1,0,1,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.2833333333333,0.0,0.0,0.0,1.0,0.0,15.2,0.0,1.6,23.7166666666663,16.8,42.50175685172238
